Alabama 1,R+15,Bradley Byrne,Republican,2013 (Special),Incumbent re-elected.,√ Bradley Byrne (Republican) 63.3%[64]
,,,,,,Robert Kennedy Jr. (Democratic) 36.7%[65]
Alabama 2,R+16,Martha Roby,Republican,2010,Incumbent re-elected.,√ Martha Roby (Republican) 61.5%[64]
,,,,,,Tabitha Isner (Democratic) 38.5%[65]
Alabama 3,R+16,Mike Rogers,Republican,2002,Incumbent re-elected.,√ Mike Rogers (Republican) 63.8%[64]
,,,,,,Mallory Hagan (Democratic) 36.2%[65]
Alabama 4,R+30,Robert Aderholt,Republican,1996,Incumbent re-elected.,√ Robert Aderholt (Republican) 79.9%[64]
,,,,,,Lee Auman (Democratic) 20.1%[65]
Alabama 5,R+18,Mo Brooks,Republican,2010,Incumbent re-elected.,√ Mo Brooks (Republican) 61.1%[64]
,,,,,,Peter Joffrion (Democratic) 39.9%[65]
Alabama 6,R+26,Gary Palmer,Republican,2014,Incumbent re-elected.,√ Gary Palmer (Republican) 69.3% [64]
,,,,,,Danner Kline (Democratic) 30.7%[65]
Alabama 7,D+20,Terri Sewell,Democratic,2010,Incumbent re-elected.,√ Terri Sewell (Democratic) Unopposed [65]
Alaska at-large,R+9,Don Young,Republican,1972,Incumbent re-elected.,√ Don Young (Republican) 53.1%[66]
,,,,,,Alyse Galvin (Undeclared/Democratic) 46.9%[g][66]
Arizona 1,R+2,Tom O'Halleran,Democratic,2016,Incumbent re-elected.,√ Tom O'Halleran (Democratic) 53.8%[67]
,,,,,,Wendy Rogers (Republican) 46.2%[67]
Arizona 2,R+1,Martha McSally,Republican,2014,Incumbent retired to run for U.S. Senator.,√ Ann Kirkpatrick (Democratic) 54.4%[67]
,,,,,New member elected.,Lea Marquez-Peterson (Republican) 45.6%[67]
,,,,,Democratic gain.,
Arizona 3,D+13,Raúl Grijalva,Democratic,2002,Incumbent re-elected.,√ Raúl Grijalva (Democratic) 63.4%[67]
,,,,,,Nick Pierson (Republican) 36.6%[67]
Arizona 4,R+21,Paul Gosar,Republican,2010,Incumbent re-elected.,√ Paul Gosar (Republican) 68.2%[67]
,,,,,,David Brill (Democratic) 30.5%
,,,,,,Haryaksha Gregor Knauer (Green) 1.3%[67]
Arizona 5,R+15,Andy Biggs,Republican,2016,Incumbent re-elected.,√ Andy Biggs (Republican) 59.4%[67]
,,,,,,Joan Greene (Democratic) 40.6%[67]
Arizona 6,R+9,David Schweikert,Republican,2010,Incumbent re-elected.,√ David Schweikert (Republican) 55.3%[67]
,,,,,,Anita Malik (Democratic) 44.7%[67]
Arizona 7,D+23,Ruben Gallego,Democratic,2014,Incumbent re-elected.,√ Ruben Gallego (Democratic) 85.7% [67]
,,,,,,Gary Swing (Green) 14.3%[67]
Arizona 8,R+13,Debbie Lesko,Republican,2018 (Special),Incumbent re-elected.,√ Debbie Lesko (Republican) 55.6%[67]
,,,,,,Hiral Tipirneni (Democratic) 44.4%[67]
Arizona 9,D+4,Kyrsten Sinema,Democratic,2012,Incumbent retired to run for U.S. Senator.,√ Greg Stanton (Democratic) 60.9%[67]
,,,,,New member elected.,Steve Ferrara (Republican) 39.1%[67]
,,,,,Democratic hold.,
