Poll,Date,Sample,Democrats,Republicans,Spread
Final Results,--,--,45.0,49.6,Republicans +4.6
RCP Average,10/26 - 11/3,--,46.0,47.7,Republicans +1.7
Ipsos-Reid/CookIpsos-Reid/Cook,10/28 - 11/3,--,46,44,Republicans +2
ABC News/Wash PostABC News/Wash Post,10/31 - 11/2,--,49,50,Democrats +1
Pew ResearchPew Research,10/30 - 11/2,--,44,46,Democrats +2
CNN/USA Today/GallupCNN/USA Today/Gallup,10/29 - 11/2,--,51,45,Republicans +6
CBS News/NY TimesCBS News/NY Times,10/27 - 10/31,--,47,40,Republicans +7
ZogbyZogby,10/26 - 10/29,--,49,51,Democrats +2
Ipsos-Reid/CookIpsos-Reid/Cook,10/25 - 10/27,--,43,45,Democrats +2
ABC News/Wash PostABC News/Wash Post,10/24 - 10/27,--,49,47,Republicans +2
NewsweekNewsweek,10/24 - 10/25,--,46,43,Republicans +3
CNN/TimeCNN/Time,10/23 - 10/24,--,43,47,Democrats +4
Democracy Corps (D)Democracy Corps (D),10/22 - 10/24,--,44,47,Democrats +3
FOX NewsFOX News,10/22 - 10/23,--,40,41,Democrats +1
CNN/USA Today/GallupCNN/USA Today/Gallup,10/21 - 10/22,--,46,49,Democrats +3
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,10/18 - 10/21,--,39,39,Tie
NPRNPR,10/14 - 10/17,--,41,45,Democrats +4
NewsweekNewsweek,10/10 - 10/11,--,43,46,Democrats +3
MaristMarist,10/9 - 10/10,--,44,39,Republicans +5
FOX NewsFOX News,10/8 - 10/9,--,42,40,Republicans +2
Wirthlin Worldwide (R)Wirthlin Worldwide (R),10/4 - 10/7,--,41,43,Democrats +2
CNN/USA Today/GallupCNN/USA Today/Gallup,10/3 - 10/6,--,47,48,Democrats +1
Pew ResearchPew Research,10/2 - 10/6,--,44,46,Democrats +2
CBS News/NY TimesCBS News/NY Times,10/3 - 10/5,--,42,46,Democrats +4
NewsweekNewsweek,9/26 - 9/27,--,40,47,Democrats +7
ABC News/Wash PostABC News/Wash Post,9/23 - 9/26,--,42,46,Democrats +4
FOX NewsFOX News,9/24 - 9/25,--,42,45,Democrats +3
CBS News/NY TimesCBS News/NY Times,9/22 - 9/23,--,40,40,Tie
CNN/USA Today/GallupCNN/USA Today/Gallup,9/20 - 9/22,--,46,50,Democrats +4
Democracy Corps (D)Democracy Corps (D),9/17 - 9/22,--,45,45,Tie
Pub Op Str (R)Pub Op Str (R),9/15 - 9/19,--,42,39,Republicans +3
NewsweekNewsweek,9/12 - 9/13,--,43,41,Republicans +2
AP/ICRAP/ICR,9/6 - 9/10,--,40,40,Tie
Pew ResearchPew Research,9/5 - 9/10,--,44,46,Democrats +2
ABC News/Wash PostABC News/Wash Post,9/3 - 9/6,--,49,41,Republicans +8
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,9/3 - 9/5,--,37,35,Republicans +2
CNN/USA Today/GallupCNN/USA Today/Gallup,9/2 - 9/5,--,43,46,Democrats +3
NewsweekNewsweek,8/28 - 8/29,--,45,40,Republicans +5
LA TimesLA Times,8/22 - 8/25,--,39,47,Democrats +8
CNN/USA Today/GallupCNN/USA Today/Gallup,8/19 - 8/21,--,42,50,Democrats +8
Ipsos-Reid/CookIpsos-Reid/Cook,8/16 - 8/18,--,43,45,Democrats +2
FOX NewsFOX News,8/6 - 8/8,--,39,36,Republicans +3
Ipsos-Reid/CookIpsos-Reid/Cook,8/2 - 8/4,--,41,45,Democrats +4
CNN/USA Today/GallupCNN/USA Today/Gallup,7/26 - 7/28,--,42,48,Democrats +6
NPRNPR,7/23 - 7/25,--,40,42,Democrats +2
Democracy Corps (D)Democracy Corps (D),7/22 - 7/24,--,44,44,Tie
ZogbyZogby,7/19 - 7/21,--,34,35,Democrats +1
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,7/19 - 7/21,--,34,36,Democrats +2
CBS News/NY TimesCBS News/NY Times,7/13 - 7/16,--,36,42,Democrats +6
ZogbyZogby,7/12 - 7/15,--,34,34,Tie
CNN/TimeCNN/Time,7/10 - 7/11,--,40,46,Democrats +6
Pub Op Str (R)Pub Op Str (R),6/30 - 7/1,--,45,42,Republicans +3
CNN/USA Today/GallupCNN/USA Today/Gallup,6/28 - 6/30,--,49,44,Republicans +5
CNN/USA Today/GallupCNN/USA Today/Gallup,6/21 - 6/23,--,42,50,Democrats +8
Pew ResearchPew Research,6/19 - 6/23,--,44,46,Democrats +2
Democracy Corps (D)Democracy Corps (D),6/18 - 6/24,--,43,45,Democrats +2
CNN/TimeCNN/Time,6/19 - 6/20,--,40,49,Democrats +9
CBS News/NY TimesCBS News/NY Times,6/18 - 6/20,--,38,37,Republicans +1
