Poll,Date,Sample,Republicans,Democrats,Spread
Final Results,--,--,51.6,44.8,Republicans +6.8
RCP Average,10/25 - 10/31,--,50.7,41.3,Republicans +9.4
GallupGallup,10/28 - 10/31,1539 LV,55,40,Republicans +15
Reuters/IpsosReuters/Ipsos,10/28 - 10/31,654 LV,50,44,Republicans +6
Pew ResearchPew Research,10/27 - 10/30,1809 LV,48,42,Republicans +6
Rasmussen ReportsRasmussen Reports,10/25 - 10/31,3500 LV,51,39,Republicans +12
CNN/Opinion ResearchCNN/Opinion Research,10/27 - 10/30,542 LV,52,42,Republicans +10
FOX NewsFOX News,10/26 - 10/28,764 LV,50,37,Republicans +13
ABC News/Wash PostABC News/Wash Post,10/25 - 10/28,786 LV,49,45,Republicans +4
BloombergBloomberg,10/24 - 10/26,1000 LV,47,44,Republicans +3
CBS News/NY TimesCBS News/NY Times,10/21 - 10/26,LV,49,43,Republicans +6
McClatchy/MaristMcClatchy/Marist,10/22 - 10/25,350 LV,49,43,Republicans +6
Rasmussen ReportsRasmussen Reports,10/18 - 10/24,3500 LV,51,39,Republicans +12
Gallup (LV Lower Turnout)*Gallup (LV Lower Turnout)*,10/14 - 10/24,1989 LV,55,41,Republicans +14
Gallup (LV Higher Turnout)*Gallup (LV Higher Turnout)*,10/14 - 10/24,1989 LV,52,43,Republicans +9
NewsweekNewsweek,10/20 - 10/21,773 LV,45,48,Democrats +3
Politico/GWU/BattlegroundPolitico/GWU/Battleground,10/17 - 10/20,1000 LV,47,42,Republicans +5
Pew ResearchPew Research,10/13 - 10/18,1354 LV,50,40,Republicans +10
Associated Press/GfKAssociated Press/GfK,10/13 - 10/18,846 LV,50,43,Republicans +7
Rasmussen ReportsRasmussen Reports,10/11 - 10/17,3500 LV,48,39,Republicans +9
FOX NewsFOX News,10/11 - 10/13,687 LV,48,39,Republicans +9
Gallup (LV Lower Turnout)*Gallup (LV Lower Turnout)*,10/7 - 10/17,1900 LV,56,39,Republicans +17
Gallup (LV Higher Turnout)*Gallup (LV Higher Turnout)*,10/7 - 10/17,1900 LV,53,42,Republicans +11
Reuters/IpsosReuters/Ipsos,10/7 - 10/11,720 LV,48,44,Republicans +4
BloombergBloomberg,10/7 - 10/10,721 LV,40,42,Democrats +2
Rasmussen ReportsRasmussen Reports,10/4 - 10/10,3500 LV,47,39,Republicans +8
Gallup (LV Lower Turnout)*Gallup (LV Lower Turnout)*,9/30 - 10/10,1953 LV,56,39,Republicans +17
Gallup (LV Higher Turnout)*Gallup (LV Higher Turnout)*,9/30 - 10/10,1953 LV,53,41,Republicans +12
CNN/Opinion ResearchCNN/Opinion Research,10/5 - 10/7,504 LV,52,45,Republicans +7
CBS NewsCBS News,10/1 - 10/5,LV,45,37,Republicans +8
Democracy Corps (D)Democracy Corps (D),10/2 - 10/4,816 LV,49,43,Republicans +6
ABC News/Wash PostABC News/Wash Post,9/30 - 10/3,669 LV,49,43,Republicans +6
Rasmussen ReportsRasmussen Reports,9/27 - 10/3,3500 LV,45,42,Republicans +3
Gallup (LV Higher Turnout)*Gallup (LV Higher Turnout)*,9/23 - 10/3,1882 LV,53,40,Republicans +13
Gallup (LV Lower Turnout)*Gallup (LV Lower Turnout)*,9/23 - 10/3,1882 LV,56,38,Republicans +18
NewsweekNewsweek,9/29 - 9/30,902 RV,43,48,Democrats +5
FOX NewsFOX News,9/28 - 9/29,900 RV,44,38,Republicans +6
GallupGallup,9/20 - 9/26,3000 RV,46,46,Tie
Rasmussen ReportsRasmussen Reports,9/20 - 9/26,3500 LV,46,40,Republicans +6
CNN/Opinion ResearchCNN/Opinion Research,9/21 - 9/23,506 LV,53,44,Republicans +9
Politico/GWU/BattlegroundPolitico/GWU/Battleground,9/19 - 9/22,1000 LV,47,42,Republicans +5
Reuters/IpsosReuters/Ipsos,9/16 - 9/19,993 RV,45,46,Democrats +1
Rasmussen ReportsRasmussen Reports,9/13 - 9/19,3500 LV,48,38,Republicans +10
GallupGallup,9/13 - 9/19,2925 RV,45,46,Democrats +1
FOX NewsFOX News,9/14 - 9/16,900 RV,46,40,Republicans +6
POS (R)POS (R),9/14 - 9/16,800 LV,44,39,Republicans +5
McClatchy/MaristMcClatchy/Marist,9/14 - 9/16,815 RV,47,45,Republicans +2
Democracy Corps (D)Democracy Corps (D),9/11 - 9/14,835 LV,50,40,Republicans +10
CBS News/NY TimesCBS News/NY Times,9/10 - 9/14,LV,40,38,Republicans +2
PPP (D)PPP (D),9/10 - 9/13,590 RV,44,45,Democrats +1
Associated Press/GfKAssociated Press/GfK,9/8 - 9/13,LV,53,43,Republicans +10
Politico/GWU/BattlegroundPolitico/GWU/Battleground,9/7 - 9/9,1000 LV,43,43,Tie
GallupGallup,9/6 - 9/12,1527 RV,48,43,Republicans +5
Rasmussen ReportsRasmussen Reports,9/6 - 9/12,3500 LV,47,38,Republicans +9
QuinnipiacQuinnipiac,8/31 - 9/7,1905 RV,42,37,Republicans +5
Pew ResearchPew Research,8/25 - 9/6,2053 LV,50,43,Republicans +7
CNN/Opinion ResearchCNN/Opinion Research,9/1 - 9/2,936 RV,52,45,Republicans +7
FOX NewsFOX News,9/1 - 9/2,900 RV,46,37,Republicans +9
GallupGallup,8/30 - 9/5,1651 RV,46,46,Tie
Rasmussen ReportsRasmussen Reports,8/30 - 9/5,3500 LV,48,36,Republicans +12
ABC News/Wash PostABC News/Wash Post,8/30 - 9/2,LV,53,40,Republicans +13
Democracy Corps (D)Democracy Corps (D),8/30 - 9/2,845 LV,49,42,Republicans +7
USA Today/GallupUSA Today/Gallup,8/27 - 8/30,928 RV,49,43,Republicans +6
National Journal/FDNational Journal/FD,8/27 - 8/30,1116 RV,36,38,Democrats +2
Rasmussen ReportsRasmussen Reports,8/23 - 8/29,3500 LV,45,39,Republicans +6
GallupGallup,8/23 - 8/29,1540 RV,51,41,Republicans +10
NewsweekNewsweek,8/25 - 8/26,856 RV,45,45,Tie
Reuters/IpsosReuters/Ipsos,8/19 - 8/22,950 RV,46,45,Republicans +1
GallupGallup,8/16 - 8/22,1600 RV,47,44,Republicans +3
Rasmussen ReportsRasmussen Reports,8/16 - 8/22,3500 LV,47,38,Republicans +9
TimeTime,8/16 - 8/17,827 LV,43,37,Republicans +6
Associated Press/GfKAssociated Press/GfK,8/11 - 8/16,890 RV,49,45,Republicans +4
GallupGallup,8/9 - 8/15,1600 RV,50,43,Republicans +7
Rasmussen ReportsRasmussen Reports,8/9 - 8/15,3500 LV,48,36,Republicans +12
FOX NewsFOX News,8/10 - 8/11,900 RV,44,37,Republicans +7
CNN/Opinion ResearchCNN/Opinion Research,8/6 - 8/10,935 RV,48,45,Republicans +3
PPP (D)PPP (D),8/6 - 8/9,606 RV,45,42,Republicans +3
Rasmussen ReportsRasmussen Reports,8/2 - 8/8,3500 LV,46,39,Republicans +7
GallupGallup,8/2 - 8/8,1600 RV,49,43,Republicans +6
Pew ResearchPew Research,7/21 - 8/5,2431 RV,44,45,Democrats +1
GallupGallup,7/26 - 8/1,1562 RV,48,43,Republicans +5
Rasmussen ReportsRasmussen Reports,7/26 - 8/1,3500 LV,46,38,Republicans +8
FOX NewsFOX News,7/27 - 7/28,900 RV,47,36,Republicans +11
Reuters/IpsosReuters/Ipsos,7/22 - 7/25,848 RV,46,44,Republicans +2
GallupGallup,7/19 - 7/25,1633 RV,44,48,Democrats +4
Rasmussen ReportsRasmussen Reports,7/19 - 7/25,3500 LV,46,36,Republicans +10
CNN/Opinion ResearchCNN/Opinion Research,7/16 - 7/21,945 RV,49,44,Republicans +5
QuinnipiacQuinnipiac,7/13 - 7/19,2181 RV,43,38,Republicans +5
GallupGallup,7/12 - 7/18,1535 RV,43,49,Democrats +6
Rasmussen ReportsRasmussen Reports,7/12 - 7/18,3500 LV,45,36,Republicans +9
FOX NewsFOX News,7/13 - 7/14,900 RV,41,37,Republicans +4
TimeTime,7/12 - 7/13,1003 A,42,43,Democrats +1
BloombergBloomberg,7/9 - 7/12,875 LV,48,40,Republicans +8
PPP (D)PPP (D),7/9 - 7/12,667 RV,43,43,Tie
