Poll,Date,Sample,Republicans (R),Democrats (D),Spread
Final Results,--,--,51.4,45.7,Republicans +5.7
RCP Average,10/15 - 11/2,--,45.6,43.2,Republicans +2.4
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,10/30 - 11/1,826 LV,48,48,Tie
Rasmussen ReportsRasmussen Reports,10/27 - 11/2,3500 LV,44,41,Republicans +3
FOX NewsFOX News,10/25 - 10/27,734 LV,44,45,Democrats +1
CBS NewsCBS News,10/23 - 10/27,624 LV,50,42,Republicans +8
CNN/Opinion ResearchCNN/Opinion Research,10/24 - 10/26,540 LV,46,47,Democrats +1
ABC News/Wash PostABC News/Wash Post,10/23 - 10/26,758 LV,50,44,Republicans +6
USA Today/PSRAIUSA Today/PSRAI,10/23 - 10/26,697 LV,42,43,Democrats +1
Rasmussen ReportsRasmussen Reports,10/20 - 10/26,3500 LV,43,41,Republicans +2
Associated Press/GfKAssociated Press/GfK,10/16 - 10/20,968 LV,40,32,Republicans +8
Pew ResearchPew Research,10/15 - 10/20,1126 LV,46,47,Democrats +1
Rasmussen ReportsRasmussen Reports,10/13 - 10/19,3500 LV,41,41,Tie
FOX NewsFOX News,10/12 - 10/14,831 LV,45,42,Republicans +3
ABC News/Wash PostABC News/Wash Post,10/9 - 10/12,629 LV,50,43,Republicans +7
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,10/8 - 10/12,666 LV,48,47,Republicans +1
Rasmussen ReportsRasmussen Reports,10/6 - 10/12,3500 LV,40,40,Tie
CBS NewsCBS News,10/3 - 10/6,575 LV,49,43,Republicans +6
Rasmussen ReportsRasmussen Reports,9/29 - 10/5,3500 LV,39,41,Democrats +2
FOX NewsFOX News,9/28 - 9/30,845 LV,47,40,Republicans +7
GallupGallup,9/25 - 9/30,1095 RV,47,46,Republicans +1
McClatchy/MaristMcClatchy/Marist,9/24 - 9/29,884 RV,44,45,Democrats +1
CNN/Opinion ResearchCNN/Opinion Research,9/25 - 9/28,701 LV,45,47,Democrats +2
Rasmussen ReportsRasmussen Reports,9/22 - 9/28,3500 LV,39,40,Democrats +1
Rasmussen ReportsRasmussen Reports,9/15 - 9/21,3500 LV,40,40,Tie
