,district,state,year,party,candidatevotes,totalvotes,candidate,national_poll,national_poll_prev,national_poll_delta_subtract,national_poll_delta_divide,previous_party,dem_win_margin_prev,rep_win_margin_prev,margin_signed_minus_prev,margin_signed_divide_prev,margin_unsigned_minus_prev,margin_unsigned_divide_prev,dem_win_prev,rep_win_prev,dem_win,rep_win,female_pct,age18_24_pct,age25_34_pct,median_age,unmarried_partner_pct,male_living_alone_pct,bachelors_deg_or_higher_pct,past_year_births_to_unmarried_women_pct,civilian_veteran_pct,live_same_house_past_year_pct,foreign_born_proportion_from_LatinAmerica,speak_other_language_at_home_pct,labor_force_unemployed_pct,public_transit_commuter_pct,no_health_insurance_pct,poverty_rate_pct,median_housing_value,median_household_income,food_stamp_benefits_pct,foreign_to_native_born_ratio
MN_04_2018,4.0,MN,2018.0,democrat,,,,7.168918918918919,3.175438596491228,3.993480322427691,2.2576153501567866,democrat,0.5776442341843185,0.34389748398187214,0.2337467502024464,1.6796989250865466,0.2337467502024464,1.6796989250865466,1.0,0.0,1.0,0.0,51.3,9.5,15.5,36.0,3.1,12.0,43.5,26.3,5.7,82.7,16.8,20.5,2.8,6.0,4.7,11.7,248000,68684.0,10.2,0.17315916323435912
LA_06_2018,6.0,LA,2018.0,republican,,,,7.168918918918919,3.175438596491228,3.993480322427691,2.2576153501567866,republican,0.14914013373683924,0.6266513237772502,-0.477511190040411,0.23799540203293765,0.477511190040411,4.201761846901579,0.0,1.0,0.0,1.0,51.0,11.1,14.7,35.6,2.5,12.2,28.8,31.0,6.3,86.0,47.0,7.6,3.4,0.5,6.8,12.3,189000,62374.0,12.9,0.047121100189025975
KY_03_2018,3.0,KY,2018.0,democrat,,,,7.168918918918919,3.175438596491228,3.993480322427691,2.2576153501567866,democrat,0.6349919580022362,0.36500804199776377,0.2699839160044724,1.7396656646982218,0.2699839160044724,1.7396656646982218,1.0,0.0,1.0,0.0,51.6,8.7,14.9,37.9,2.6,15.3,32.5,37.6,7.7,84.6,34.8,10.0,3.8,3.0,5.3,14.0,169700,53677.0,12.5,0.08985283405035555
KY_04_2018,4.0,KY,2018.0,republican,,,,7.168918918918919,3.175438596491228,3.993480322427691,2.2576153501567866,republican,0.28679490345653946,0.7132050965434605,-0.4264101930869211,0.40212121989381083,0.4264101930869211,2.4868123106362616,0.0,1.0,0.0,1.0,50.4,8.0,12.9,39.0,2.3,10.7,29.1,36.9,8.0,84.6,36.2,4.9,2.9,0.8,4.6,11.9,172500,62095.0,10.6,0.03415652978474433
KY_05_2018,5.0,KY,2018.0,republican,,,,7.168918918918919,3.175438596491228,3.993480322427691,2.2576153501567866,republican,1e-10,1.0,-0.9999999999,1e-10,0.9999999999,10000000000.0,0.0,1.0,0.0,1.0,50.2,8.7,12.0,40.9,1.8,13.9,13.2,40.1,5.9,89.3,22.1,2.0,3.7,0.3,6.0,29.1,81500,31731.0,24.7,0.006692130205231109
KY_06_2018,6.0,KY,2018.0,republican,,,,7.168918918918919,3.175438596491228,3.993480322427691,2.2576153501567866,republican,0.3891097159542601,0.61089028404574,-0.2217805680914799,0.6369551556415419,0.2217805680914799,1.5699692374619354,0.0,1.0,0.0,1.0,51.0,11.6,13.5,37.1,3.3,12.4,31.7,28.3,7.3,79.4,38.2,7.2,3.2,1.0,5.7,16.6,160500,52156.0,12.9,0.05334089613793685
LA_01_2018,1.0,LA,2018.0,republican,,,,7.168918918918919,3.175438596491228,3.993480322427691,2.2576153501567866,republican,0.1280340771386954,0.745575112917243,-0.6175410357785476,0.17172525600771613,0.6175410357785476,5.823255258126196,0.0,1.0,0.0,1.0,51.4,8.4,14.0,38.3,2.2,12.9,31.1,44.7,6.8,87.0,66.2,12.1,2.7,0.3,8.9,14.2,202500,58199.0,10.9,0.07933060176729032
LA_02_2018,2.0,LA,2018.0,democrat,,,,7.168918918918919,3.175438596491228,3.993480322427691,2.2576153501567866,democrat,0.6975400061209629,0.2009540259402186,0.4965859801807443,3.4711422319474834,0.4965859801807443,3.4711422319474834,1.0,0.0,1.0,0.0,52.0,9.8,15.0,36.6,2.2,17.1,22.3,70.4,5.0,88.4,58.5,9.2,5.1,4.1,9.6,27.1,158100,37340.0,22.9,0.055927339090864545
LA_03_2018,3.0,LA,2018.0,republican,,,,7.168918918918919,3.175438596491228,3.993480322427691,2.2576153501567866,republican,0.2151301324515035,0.2749970790566592,-0.05986694660515571,0.7822997000167373,0.05986694660515571,1.278282479181067,0.0,1.0,0.0,1.0,51.3,9.2,14.2,36.1,2.4,14.1,22.0,41.1,6.6,86.9,49.1,9.9,4.0,0.5,9.1,17.7,158700,47741.0,15.7,0.030412220846511177
LA_04_2018,4.0,LA,2018.0,republican,,,,7.168918918918919,3.175438596491228,3.993480322427691,2.2576153501567866,republican,0.18757185752397112,0.32508436863979523,-0.1375125111158241,0.5769943916676205,0.1375125111158241,1.7331190986273108,0.0,1.0,0.0,1.0,50.7,9.8,13.2,37.1,2.3,14.6,19.5,42.0,8.3,87.6,48.6,4.9,4.3,0.6,7.5,23.2,130000,37102.0,17.7,0.023607824695932034
