,district,state,year,party,candidatevotes,totalvotes,candidate,national_poll,national_poll_prev,national_poll_delta_subtract,national_poll_delta_divide,previous_party,dem_win_margin_prev,rep_win_margin_prev,margin_signed_minus_prev,margin_signed_divide_prev,margin_unsigned_minus_prev,margin_unsigned_divide_prev,dem_win_prev,rep_win_prev,dem_win,rep_win,female_pct,age18_24_pct,age25_34_pct,median_age,unmarried_partner_pct,male_living_alone_pct,bachelors_deg_or_higher_pct,past_year_births_to_unmarried_women_pct,civilian_veteran_pct,live_same_house_past_year_pct,foreign_born_proportion_from_LatinAmerica,speak_other_language_at_home_pct,labor_force_unemployed_pct,public_transit_commuter_pct,no_health_insurance_pct,poverty_rate_pct,median_housing_value,median_household_income,food_stamp_benefits_pct,foreign_to_native_born_ratio
AK_01_2010,1,AK,2010,republican,175384.0,254335.0,Don Young,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,republican,0.44974730107452254,0.5014196568847049,-0.05167235581018237,0.8969478856668283,0.05167235581018237,1.114891975308642,0.0,1.0,0.0,1.0,47.8,10.5,14.5,33.8,3.0,13.7,27.9,31.9,14.1,80.4,19.2,16.5,6.6,1.2,19.9,9.9,241400,64576,10.6,0.07420117773438088
AL_01_2010,1,AL,2010,republican,129063.0,156281.0,Jo Bonner,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,republican,0.01729277360787808,0.9827072263921219,-0.9654144527842439,0.017597075856830912,0.9654144527842439,56.82762341516051,0.0,1.0,0.0,1.0,51.0,9.0,12.3,38.4,1.6,12.3,21.5,56.5,12.1,84.8,45.1,4.9,7.5,0.4,17.3,19.1,136000,41172,15.7,0.03340029571305946
AL_02_2010,2,AL,2010,republican,111645.0,219028.0,Martha Roby,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.5023347738644509,0.4961063905300737,0.006228383334377197,1.0125545315546578,0.006228383334377197,1.0125545315546578,1.0,0.0,0.0,1.0,52.1,10.1,12.6,37.7,1.7,12.3,20.1,49.1,12.7,82.2,49.5,3.7,5.5,0.2,12.9,18.6,111200,40567,15.3,0.02500803214703518
AL_03_2010,3,AL,2010,republican,117736.0,198139.0,Mike Rogers,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,republican,0.45842798727850975,0.5403150083295472,-0.0818870210510374,0.8484457773915969,0.0818870210510374,1.1786257020151965,0.0,1.0,0.0,1.0,51.7,12.5,12.1,36.7,1.6,12.8,19.9,47.4,10.9,81.8,45.2,5.0,7.9,0.5,14.9,24.0,110100,35452,17.2,0.033996511795166856
AL_04_2010,4,AL,2010,republican,167714.0,169721.0,Robert B. Aderholt,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,republican,0.2510839124966276,0.7475899333883048,-0.4965060208916772,0.33585780289822653,0.4965060208916772,2.9774505501157744,0.0,1.0,0.0,1.0,50.6,8.4,11.3,40.2,1.2,10.6,12.1,48.0,10.5,85.7,87.5,5.8,7.4,0.1,16.3,19.8,93400,36715,14.6,0.04124364379670891
AL_05_2010,5,AL,2010,republican,131109.0,226490.0,Mo Brooks,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.5152400726368612,0.47940979295891073,0.035830279677950494,1.0747383140774127,0.035830279677950494,1.0747383140774127,1.0,0.0,0.0,1.0,51.0,9.8,12.4,38.3,1.2,12.3,26.9,25.1,11.9,86.7,53.8,6.0,7.0,0.3,13.1,15.3,135600,45856,10.6,0.04501253452983538
AL_06_2010,6,AL,2010,republican,205288.0,209364.0,Spencer Bachus,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,republican,0.022054958100801776,0.9779450418991982,-0.9558900837983964,0.0225523492178767,0.9558900837983964,44.34127861089187,0.0,1.0,0.0,1.0,51.5,8.7,13.8,37.8,1.3,11.0,33.5,18.6,9.9,87.0,57.2,6.6,5.6,0.0,10.8,10.6,175300,55559,7.3,0.05158184802836931
AL_07_2010,7,AL,2010,democrat,136696.0,188724.0,Terri A. Sewell,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.9862624675767476,0.013737532423252381,0.9725249351534953,71.7932767829092,0.9725249351534953,71.7932767829092,1.0,0.0,1.0,0.0,52.6,13.4,13.5,34.7,1.9,13.7,16.8,64.1,9.1,81.3,65.7,3.8,8.4,1.5,17.7,28.0,93900,31047,21.5,0.022651655801781717
AR_01_2010,1,AR,2010,republican,93224.0,180016.0,Rick Crawford,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,1.0,1e-10,0.9999999999,10000000000.0,0.9999999999,10000000000.0,1.0,0.0,0.0,1.0,50.7,9.3,11.5,38.8,1.9,11.2,14.4,43.4,11.7,82.5,65.7,2.4,6.6,0.2,17.6,22.1,88900,33862,16.1,0.018355367366165252
AR_02_2010,2,AR,2010,republican,122091.0,210852.0,Tim Griffin,-2.6226415094339623,9.824324324324325,-12.446965833758288,-0.26695388129038955,democrat,0.7654254667118536,0.23217697915389773,0.533248487557956,3.296732817789372,0.533248487557956,3.296732817789372,1.0,0.0,0.0,1.0,51.3,10.4,13.9,36.1,1.6,13.3,25.5,38.8,11.4,81.7,60.7,6.9,5.0,0.5,16.2,16.3,127800,43685,11.4,0.04886439545758183
