,state,district,year,female_pct,age18_24_pct,age25_34_pct,median_age,unmarried_partner_pct,male_living_alone_pct,bachelors_deg_or_higher_pct,past_year_births_to_unmarried_women_pct,civilian_veteran_pct,live_same_house_past_year_pct,foreign_born_proportion_from_LatinAmerica,speak_other_language_at_home_pct,labor_force_unemployed_pct,public_transit_commuter_pct,no_health_insurance_pct,poverty_rate_pct,median_housing_value,median_household_income,food_stamp_benefits_pct,foreign_to_native_born_ratio
AL_01_2018,AL,1,2018,51.8,8.2,12.9,40.0,1.4,14.0,25.0,27.8,9.1,89.6,38.3,4.2,3.2,0.3,10.5,17.0,147100,47984,13.5,0.03599050863603756
AL_02_2018,AL,2,2018,51.2,9.7,13.0,38.5,1.7,13.0,23.1,50.4,11.5,84.6,41.6,3.9,3.4,0.1,9.3,18.0,131400,46579,15.8,0.026709414733454426
AL_03_2018,AL,3,2018,51.2,10.7,13.0,38.1,2.1,13.8,21.7,46.5,9.3,86.3,34.7,4.2,2.9,0.2,8.9,17.8,127600,46484,14.0,0.030215326614949613
AL_04_2018,AL,4,2018,51.4,8.8,11.7,40.7,1.3,13.0,17.9,27.0,7.6,87.9,76.4,6.7,3.2,0.2,10.6,17.6,117700,43218,14.0,0.04005928865747905
AL_05_2018,AL,5,2018,50.8,9.3,13.2,39.5,1.6,12.6,31.9,47.4,10.1,84.5,43.6,6.1,2.8,0.3,9.0,13.8,160400,54707,12.4,0.045011602952209795
AL_06_2018,AL,6,2018,52.3,8.6,12.3,39.1,1.3,9.9,37.6,28.5,7.0,87.1,44.7,6.1,2.7,0.2,7.0,9.9,193400,65170,6.9,0.045650865975041165
AL_07_2018,AL,7,2018,52.3,12.5,14.2,36.3,1.6,16.0,20.7,74.0,7.5,83.9,49.8,4.6,4.8,1.3,10.4,24.6,96500,35988,21.9,0.027468178414803722
AK_01_2018,AK,1,2018,47.9,9.9,16.0,34.5,2.7,13.8,28.8,20.9,11.9,81.5,14.9,15.9,4.9,1.7,13.7,11.1,273100,73181,10.8,0.08536724921069001
AZ_01_2018,AZ,1,2018,49.5,10.7,12.2,37.6,2.3,13.0,25.3,57.5,9.4,82.1,54.4,26.8,4.2,0.7,10.2,19.2,180500,50303,13.7,0.06560376699510062
AZ_02_2018,AZ,2,2018,50.5,9.5,12.8,41.4,3.0,15.5,35.4,28.1,13.7,79.8,53.3,22.5,3.8,2.2,6.6,13.9,185900,53516,11.9,0.11453713143551987
AZ_03_2018,AZ,3,2018,50.0,13.1,14.1,31.8,2.6,10.7,16.8,43.1,6.5,83.1,88.1,51.9,4.8,1.9,12.9,20.0,156800,47670,20.2,0.25957060740760046
AZ_04_2018,AZ,4,2018,49.6,7.0,10.5,48.1,2.7,12.9,19.3,36.8,13.6,82.8,57.4,14.3,2.8,0.6,8.9,13.4,194600,49387,10.2,0.09141881870775641
AZ_05_2018,AZ,5,2018,51.2,7.0,12.1,38.0,1.9,9.7,36.0,16.3,8.4,80.8,40.4,14.8,2.4,0.9,7.5,8.0,282600,71675,4.9,0.10269957929679016
AZ_06_2018,AZ,6,2018,51.0,6.9,13.9,42.3,2.7,13.1,44.4,35.0,7.7,83.9,37.1,18.9,2.8,1.5,7.8,10.6,346000,73425,5.2,0.15996907092800547
AZ_07_2018,AZ,7,2018,49.9,11.9,16.5,29.7,2.8,12.7,13.8,43.8,4.6,84.1,83.0,54.3,4.5,4.4,17.9,24.2,167900,43969,22.1,0.33522007441255564
AZ_08_2018,AZ,8,2018,52.0,7.7,11.9,43.1,2.1,9.9,30.7,28.6,10.4,85.5,33.1,16.8,2.6,0.7,6.8,8.2,242900,67699,5.4,0.10951572678099566
AZ_09_2018,AZ,9,2018,48.8,12.5,18.2,33.5,3.2,18.2,39.7,37.7,6.2,79.5,52.3,26.0,3.3,2.8,11.2,16.3,270100,56598,8.0,0.16539783368994004
AR_01_2018,AR,1,2018,50.2,8.6,12.0,39.7,2.6,14.0,16.4,41.4,9.2,82.7,48.4,3.0,3.3,0.3,6.9,18.6,101300,41143,15.1,0.017956552499767457
AR_02_2018,AR,2,2018,51.4,9.7,13.8,37.4,1.6,13.9,30.5,41.5,9.3,85.9,47.5,6.7,3.0,0.4,7.0,13.5,149400,51287,8.9,0.04457361430964274
AR_03_2018,AR,3,2018,50.3,10.5,13.8,35.5,2.3,11.9,28.8,21.2,8.4,82.8,63.5,13.6,3.1,0.2,9.7,14.5,159600,51335,9.0,0.1006959260041851
AR_04_2018,AR,4,2018,51.1,9.3,11.1,40.8,2.2,13.3,17.2,50.4,8.7,87.0,73.5,5.9,3.5,0.3,7.6,19.5,98500,40903,14.8,0.03023560798711512
CA_01_2018,CA,1,2018,49.6,9.4,12.3,42.3,3.0,12.5,24.8,53.4,9.6,85.5,47.0,11.2,3.1,0.5,5.9,17.1,280200,51478,10.9,0.07009411936486935
CA_02_2018,CA,2,2018,50.5,7.9,10.3,44.3,2.9,12.2,42.3,34.1,6.7,85.1,49.3,20.1,3.0,4.3,5.6,12.3,649500,76114,7.3,0.15270098445296396
CA_03_2018,CA,3,2018,49.7,12.1,14.3,35.2,2.4,10.6,25.1,19.2,8.2,84.5,50.9,31.9,3.3,2.3,5.3,13.6,346400,65934,11.4,0.22746934889093212
CA_04_2018,CA,4,2018,50.3,7.4,10.5,44.6,1.9,10.1,32.9,29.4,8.9,87.0,26.8,12.7,2.5,1.5,4.2,9.3,424900,75841,5.5,0.10545556597712015
CA_05_2018,CA,5,2018,51.4,8.7,14.1,40.2,2.6,10.8,32.4,36.8,6.8,86.5,54.3,33.2,3.1,3.6,6.1,9.8,528600,78152,7.2,0.26834801220487847
CA_06_2018,CA,6,2018,51.2,9.0,17.5,34.4,2.7,13.7,28.4,28.7,6.0,83.7,35.9,38.5,4.9,2.9,6.4,17.9,316700,54243,13.8,0.31561381736689276
CA_07_2018,CA,7,2018,51.1,8.2,14.1,38.7,2.2,9.3,33.4,26.9,7.2,85.2,21.8,28.2,3.5,1.8,4.7,10.3,379800,74608,8.6,0.24781052344692575
CA_08_2018,CA,8,2018,50.1,10.1,13.5,34.2,2.4,11.9,15.9,41.4,8.6,85.4,71.3,28.2,5.3,1.1,7.0,18.2,237200,52428,17.0,0.15911435154093578
CA_09_2018,CA,9,2018,50.7,9.2,13.5,35.0,1.8,8.6,21.3,31.5,5.8,87.8,50.0,39.0,4.3,2.1,6.2,14.8,375600,65392,12.7,0.2861988770391043
